TC.01
DEVICE,Date,Time,WL,Q,V,POWER,TEMP,HUM,RAIN15
TC.01,02/09/26,20:21:28,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,20:30:24,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,20:45:27,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,21:00:00,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,21:15:03,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,21:30:05,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,21:45:08,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,22:00:10,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,22:15:13,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,22:30:16,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,22:45:19,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,23:00:24,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,23:15:08,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,23:30:21,303.67,18.96,1.00,12.86,31.04,83.62,0.00
TC.01,02/09/26,23:45:19,303.67,18.96,1.00,12.86,31.04,83.62,0.00
