DEVICE,Date,Time,WL,Q,V,POWER,TEMP,HUM,RAIN15
TC.02,02/09/26,20:21:28,392.24,10.09,0.62,12.42,29.68,63.71,0.00
TC.02,02/09/26,20:30:24,392.24,10.09,0.62,12.42,29.68,63.71,0.00
TC.02,02/09/26,20:45:27,392.24,10.09,0.62,12.42,29.68,63.71,0.00
TC.02,02/09/26,21:00:00,392.24,10.09,0.62,12.42,29.68,63.71,0.00
TC.02,02/09/26,21:15:03,392.24,10.09,0.62,12.42,29.68,63.71,0.00
TC.02,02/09/26,21:30:05,392.24,10.09,0.62,12.42,29.68,63.71,0.00
TC.02,02/09/26,21:45:08,392.24,10.09,0.62,12.42,29.68,63.71,0.00
TC.02,02/09/26,22:00:10,392.24,10.09,0.62,12.42,29.68,63.71,0.00
TC.02,02/09/26,22:15:13,392.24,10.09,0.62,12.42,29.68,63.71,0.00
TC.02,02/09/26,22:30:16,392.24,10.09,0.62,12.42,29.68,63.71,0.00
